,platform,author,date,content,engagement
73,x,CorinneS_Riveraine,2024-01-20 09:16:47,Riveraine de la côte depuis toujours. J'ai évidemment des questions très légitimes sur le projet et ses impacts. Mais franchement les fake news n'aident absolument personne.,56
74,x,VeriteAbsolue_FR,2024-01-20 10:34:22,PREUVE TECHNIQUE IRRÉFUTABLE : Nouvelles photos satellites exclusives montrant clairement l'énorme ARNAQUE complète du projet ! Long thread détaillé ci-dessous 🧵👇,935
75,x,DavidM_Statisticien,2024-01-20 11:22:56,Statisticien data scientist. J'ai personnellement analysé en détail toutes les données brutes de l'enquête publique officielle. Distribution parfaitement normale rien de suspect. Méthodologie très solide.,118
76,x,SauverLaNature_NOW,2024-01-20 12:47:31,Les industriels capitalistes veulent littéralement DÉTRUIRE toute notre magnifique biodiversité locale uniquement pour leur sale profit financier ! STOP DÉFINITIF à l'écocide !,568
77,x,JulieR_Enseignante,2024-01-20 13:35:08,Professeure d'histoire-géographie collège. J'utilise justement ce débat local très médiatisé pour enseigner concrètement l'esprit critique à mes élèves de 3ème. Exercice pédagogique vraiment riche !,85
78,x,ResistanceNationale_Info,2024-01-20 14:51:43,COMPLOT MONDIAL RÉVÉLÉ : Le projet éolien offshore fait partie intégrante du grand plan mondialiste secret pour totalement asservir toutes les nations souveraines ! RÉVEILLEZ-VOUS VITE !,712
79,x,LouisG_Historien,2024-01-20 15:38:19,Historien spécialiste patrimoine maritime régional. La Loire et son estuaire ont historiquement connu énormément de transformations profondes au fil des siècles. La capacité d'adaptation est dans notre ADN.,113
80,x,VraiJournalisme,2024-01-20 16:25:52,Tous les journalistes mainstream sont littéralement VENDUS et corrompus aux puissants lobbies industriels ! Ils refusent catégoriquement d'enquêter ! Seuls les vrais médias libres indépendants disent la vérité !,656
81,x,ClementH_Climatologue,2024-01-20 17:13:27,Climatologue chercheur CNRS. Le défi climatique planétaire nécessite absolument un mix énergétique incluant massivement l'éolien offshore. Toutes les données du GIEC sont parfaitement claires là-dessus.,312
82,x,AlerteDanger_Public,2024-01-20 18:29:14,DANGER PUBLIC MAJEUR : De très graves accidents mortels sur d'autres parcs éoliens européens ont été systématiquement et volontairement cachés au public ! SCANDALE ÉNORME !,756
83,x,NinaV_Urbaniste,2024-01-20 19:14:38,Urbaniste aménagement du territoire. L'aménagement territorial doit intelligemment intégrer à la fois transition énergétique indispensable ET préservation qualité du cadre de vie. Équilibre vraiment délicat.,139
84,x,InfoRebelle,2024-01-20 20:37:05,ILS VEULENT ABSOLUMENT NOUS FAIRE TAIRE PAR TOUS LES MOYENS ! Mais nous sommes maintenant des millions partout à connaître enfin la VÉRITÉ ! PARTAGEZ MASSIVEMENT !,821
85,x,PascalK_Philosophe,2024-01-20 21:24:41,Philosophe enseignant université. Ce débat sociétal révèle parfaitement nos rapports contemporains complexes à la technique la nature le progrès. Questionnements philosophiques vraiment fondamentaux.,168
86,x,StopMensonges_FR,2024-01-20 22:16:17,MENSONGE D'ÉTAT COLOSSAL : Le projet éolien offshore coûtera finalement 10 fois plus cher que tous les chiffres annoncés ! C'est NOS impôts durement gagnés ! SCANDALE ABSOLU !,679
87,x,LiseM_Psychologue,2024-01-20 23:03:52,Psychologue sociale spécialiste opinion. La forte polarisation actuelle du débat public montre parfaitement l'importance des biais de confirmation et des bulles informationnelles algorithmiques.,190
88,x,EveilMassif,2024-01-20 23:51:28,ÉVEIL MASSIF EN COURS PARTOUT ! Les gens découvrent enfin massivement la vérité longtemps cachée ! Le système corrompu tremble de peur ! CONTINUONS LE COMBAT !,712
89,x,HugoP_Journaliste,2024-01-21 08:42:13,Journaliste indépendant enquête terrain. Après 2 semaines d'interviews : les avis locaux sont très partagés c'est vrai mais personne n'a jamais réellement vu ce fameux document confidentiel qui circule.,250
90,x,FinalResistance,2024-01-21 09:35:46,C'est l'ULTIME COMBAT décisif pour notre liberté fondamentale ! Le projet éolien destructeur est le parfait symbole de notre asservissement programmé ! DEBOUT CITOYENS !,778
91,x,ElodieC_Biologiste,2024-01-21 10:27:31,Biologiste marine docteure. J'ai personnellement participé aux longues études d'impact environnemental. Méthodologie scientifique parfaitement rigoureuse peer-reviewed. Tous les résultats sont publics.,208
92,x,VraieCommunaute,2024-01-21 11:19:08,Rejoignez dès maintenant notre grande communauté de VÉRITÉ et de RÉSISTANCE ! Déjà plus de 50000 membres actifs ! Lien Telegram sécurisé dans la bio ! ENSEMBLE on est FORTS !,668
93,x,ThierryB_Retraite,2024-01-21 12:04:52,Retraité EDF après 40 longues années de carrière dans le secteur énergétique. L'éolien offshore est une technologie parfaitement mature fiable et éprouvée maintenant.,132
94,x,InfoChoc_Revelation,2024-01-21 13:26:37,RÉVÉLATION ABSOLUMENT CHOC : Des photos confidentielles exclusives prouvent définitivement que le projet est un DÉSASTRE écologique total annoncé ! PARTAGEZ PARTOUT !,946
